x-axis,1,3
second,Volt,Volt
-2.3520000E+00,+424.6E-06,+1.4113530E+00
-2.3516875E+00,-3.9723E-03,+1.4396194E+00
-2.3513750E+00,+2.3091E-03,+1.4459008E+00
-2.3510625E+00,+424.6E-06,+1.4031872E+00
-2.3507500E+00,+2.3091E-03,+1.4377349E+00
-2.3504375E+00,+6.0779E-03,+1.4559510E+00
-2.3501250E+00,+424.6E-06,+1.4377349E+00
-2.3498125E+00,-3.9723E-03,+1.4578354E+00
-2.3495000E+00,+2.3091E-03,+1.4741671E+00
-2.3491875E+00,+6.0779E-03,+1.4616043E+00
-2.3488750E+00,+6.0779E-03,+1.4232877E+00
-2.3485625E+00,+12.3593E-03,+1.4396194E+00
-2.3482500E+00,+16.1282E-03,+1.4578354E+00
-2.3479375E+00,+16.1282E-03,+1.4415038E+00
-2.3476250E+00,+4.1935E-03,+1.4157500E+00
-2.3473125E+00,+2.3091E-03,+1.4339661E+00
-2.3470000E+00,+12.3593E-03,+1.4477852E+00
-2.3466875E+00,+10.4749E-03,+1.3227852E+00
-2.3463750E+00,+6.0779E-03,+1.3755490E+00
-2.3460625E+00,+12.3593E-03,+1.4641169E+00
-2.3457500E+00,+10.4749E-03,+1.3309510E+00
-2.3454375E+00,+6.0779E-03,+1.2850968E+00
-2.3451250E+00,+6.0779E-03,+1.4094686E+00
-2.3448125E+00,+12.3593E-03,+1.4559510E+00
-2.3445000E+00,+16.1282E-03,+1.2750465E+00
-2.3441875E+00,+10.4749E-03,+1.1984133E+00
-2.3438750E+00,+12.3593E-03,+1.3491671E+00
-2.3435625E+00,+10.4749E-03,+1.3912525E+00
-2.3432500E+00,+6.0779E-03,+1.2668807E+00
-2.3429375E+00,+424.6E-06,+1.3654988E+00
-2.3426250E+00,+2.3091E-03,+1.4195189E+00
-2.3423125E+00,+6.0779E-03,+1.2750465E+00
-2.3420000E+00,+6.0779E-03,+1.3353480E+00
-2.3416875E+00,+424.6E-06,+1.4415038E+00
-2.3413750E+00,+8.5905E-03,+1.2788153E+00
-2.3410625E+00,+4.1935E-03,+1.2348455E+00
-2.3407500E+00,+2.3091E-03,+1.3912525E+00
-2.3404375E+00,+6.0779E-03,+1.4396194E+00
-2.3401250E+00,+6.0779E-03,+1.4239158E+00
-2.3398125E+00,+6.0779E-03,+1.4540666E+00
-2.3395000E+00,+6.0779E-03,+1.4496696E+00
-2.3391875E+00,+6.0779E-03,+1.4276847E+00
-2.3388750E+00,+6.0779E-03,+1.4358505E+00
-2.3385625E+00,+6.0779E-03,+1.4616043E+00
-2.3382500E+00,+6.0779E-03,+1.4496696E+00
-2.3379375E+00,+424.6E-06,+1.2649963E+00
-2.3376250E+00,+8.5905E-03,+1.3453983E+00
-2.3373125E+00,+16.1282E-03,+1.4496696E+00
-2.3370000E+00,+10.4749E-03,+1.4276847E+00
-2.3366875E+00,+6.0779E-03,+1.3931370E+00
-2.3363750E+00,+6.0779E-03,+1.4157500E+00
-2.3360625E+00,+18.6407E-03,+1.4314535E+00
