timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
6940.524317746	0.000000000	2.827	-3.842	0.184	-0.055	1.152757	1	4294967295
6940.824345282	0.000000000	2.790	-3.861	0.156	-0.050	1.340759	1	4294967295
6941.124415793	0.000000000	2.736	-3.881	0.126	-0.046	1.387285	1	4294967295
6941.424540621	0.000000000	2.686	-3.928	0.101	-0.049	1.357609	1	4294967295
6941.724605677	0.000000000	2.599	-3.949	0.067	-0.044	1.449521	1	4294967295
6942.024946101	0.000000000	2.493	-3.967	0.031	-0.039	1.517097	1	4294967295
6942.325110719	0.000000000	2.384	-3.934	-0.004	-0.023	1.497088	1	4294967295
6942.625269061	0.000000000	2.260	-3.897	-0.040	-0.007	1.500248	1	4294967295
6942.925439862	0.000000000	2.139	-3.895	-0.072	-0.002	1.467833	1	4294967295
6943.225728763	0.000000000	1.988	-3.860	-0.109	0.013	1.525607	1	4294967295
6943.526059886	0.000000000	1.802	-3.840	-0.155	0.024	1.690356	1	4294967295
6943.826243486	0.000000000	1.614	-3.821	-0.197	0.034	1.669733	1	4294967295
6944.126553644	0.000000000	1.436	-3.797	-0.233	0.044	1.456227	1	4294967295
6944.426753197	0.000000000	1.294	-3.802	-0.256	0.044	1.247073	1	4294967295
6944.727014345	0.000000000	1.129	-3.758	-0.284	0.058	1.381222	1	4294967295
6945.027122298	0.000000000	0.994	-3.696	-0.301	0.074	1.097822	1	4294967295
6945.327274860	0.000000000	0.862	-3.647	-0.316	0.086	1.123574	1	4294967295
6945.627422421	0.000000000	0.777	-3.562	-0.316	0.105	0.756150	1	4294967295
6945.927346887	0.000000000	0.689	-3.489	-0.315	0.117	1.227113	1	4294967295
6946.241045279	0.000000000	0.579	-3.406	-0.320	0.132	0.643966	1	4294967295
6946.540997395	0.000000000	0.501	-3.321	-0.317	0.146	0.721508	1	4294967295
6946.840926406	0.000000000	0.449	-3.222	-0.307	0.163	0.820308	1	4294967295
6947.140810530	0.000000000	0.416	-3.108	-0.293	0.182	0.924508	1	4294967295
6947.426864317	0.000000000	0.552	-2.970	-0.234	0.202	2.766749	1	4294967295
6947.726998433	0.000000000	0.701	-2.827	-0.176	0.222	2.744005	1	4294967295
6948.026789561	0.000000000	0.862	-2.683	-0.119	0.241	2.732101	1	4294967295
6948.327061594	0.000000000	1.028	-2.526	-0.066	0.261	2.716485	1	4294967295
6948.626504824	0.000000000	1.069	-2.462	-0.052	0.261	0.999516	1	4294967295
6948.926497088	0.000000000	1.240	-2.314	-0.005	0.279	2.086947	1	4294967295
6949.226406437	0.000000000	1.419	-2.176	0.042	0.293	2.058354	1	4294967295
6949.526450332	0.000000000	1.488	-2.112	0.055	0.289	0.913660	1	4294967295
6949.826742545	0.000000000	1.558	-2.026	0.067	0.291	0.862736	1	4294967295
6950.126874754	0.000000000	1.633	-1.935	0.080	0.294	0.809767	1	4294967295
6950.427218849	0.000000000	1.730	-1.824	0.098	0.301	0.848220	1	4294967295
6950.727459918	0.000000000	1.827	-1.704	0.114	0.310	0.840891	1	4294967295
6951.027825167	0.000000000	1.951	-1.527	0.133	0.334	1.041833	1	4294967295
6951.328234190	0.000000000	2.125	-1.230	0.166	0.383	2.572784	1	4294967295
6951.628592661	0.000000000	2.253	-0.961	0.184	0.423	2.410071	1	4294967295
6951.929044761	0.000000000	2.360	-0.698	0.195	0.459	2.334330	1	4294967295
6952.229418653	0.000000000	2.450	-0.449	0.202	0.489	2.244681	1	4294967295
6952.529869771	0.000000000	2.521	-0.192	0.203	0.519	2.186178	1	4294967295
6952.830332266	0.000000000	2.530	-0.020	0.185	0.527	1.057700	1	4294967295
6953.130806086	0.000000000	2.520	0.160	0.164	0.535	1.130349	1	4294967295
6953.441220883	0.000000000	2.516	0.353	0.146	0.546	1.022691	1	4294967295
6953.731917765	0.000000000	2.472	0.540	0.118	0.555	1.227739	1	4294967295
6954.032439735	0.000000000	2.390	0.715	0.082	0.560	1.415796	1	4294967295
6954.332768906	0.000000000	2.271	0.888	0.038	0.563	1.559374	1	4294967295
6954.633302551	0.000000000	2.136	1.050	-0.007	0.563	1.573825	1	4294967295
6954.938147412	0.000000000	1.994	1.217	-0.050	0.564	1.616214	1	4294967295
6955.237557617	0.000000000	1.832	1.369	-0.094	0.559	1.639979	1	4294967295
6955.534419422	0.000000000	1.661	1.512	-0.136	0.553	1.622202	1	4294967295
6955.834764535	0.000000000	1.482	1.635	-0.177	0.541	1.578990	1	4294967295
6956.135882064	0.000000000	1.294	1.776	-0.217	0.536	1.528969	1	4294967295
6956.435005688	0.000000000	1.058	1.779	-0.270	0.495	1.996465	1	4294967295
6956.734862020	0.000000000	0.831	1.756	-0.315	0.451	1.967545	1	4294967295
6957.034710342	0.000000000	0.652	1.727	-0.342	0.408	1.790375	1	4294967295
6957.334584716	0.000000000	0.497	1.701	-0.358	0.370	1.555145	1	4294967295
6957.633699880	0.000000000	0.398	1.718	-0.356	0.345	1.192219	1	4294967295
6957.933330948	0.000000000	0.254	1.575	-0.365	0.282	1.865242	1	4294967295
6958.232746181	0.000000000	0.152	1.415	-0.362	0.219	1.950568	1	4294967295
6958.532301165	0.000000000	0.095	1.250	-0.346	0.159	1.974052	1	4294967295
6958.831855783	0.000000000	0.056	1.101	-0.328	0.108	1.929266	1	4294967295
6959.131354785	0.000000000	0.079	0.970	-0.294	0.065	1.935434	1	4294967295
