timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
7232.108012639	0.000000000	6.569	-5.511	0.001	-0.001	11.333256	1	4294967295
7232.408033831	0.000000000	6.568	-5.507	0.001	-0.001	14.246421	1	4294967295
7232.708020817	0.000000000	6.565	-5.503	-0.005	0.003	12.976110	1	4294967295
7233.008002594	0.000000000	6.552	-5.490	-0.024	0.018	13.885180	1	4294967295
7233.307973710	0.000000000	6.519	-5.465	-0.057	0.040	12.406812	1	4294967295
7233.607921173	0.000000000	6.452	-5.409	-0.110	0.085	12.701996	1	4294967295
7233.921003814	0.000000000	6.352	-5.320	-0.169	0.139	10.942804	1	4294967295
7234.207919682	0.000000000	6.193	-5.196	-0.251	0.200	10.383309	1	4294967295
7234.507893081	0.000000000	5.964	-5.006	-0.354	0.286	10.381983	1	4294967295
7234.807786326	0.000000000	5.687	-4.793	-0.455	0.361	8.515860	1	4294967295
7235.107818095	0.000000000	5.352	-4.541	-0.561	0.437	7.478948	1	4294967295
7235.407854694	0.000000000	5.062	-4.262	-0.622	0.509	5.745747	1	4294967295
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
7237.222155716	0.000000000	4.772	-4.025	-0.669	0.548	4.028810	1	4294967295
7237.508273524	0.000000000	4.446	-3.737	-0.722	0.599	4.149063	1	4294967295
7237.808290506	0.000000000	4.123	-3.453	-0.764	0.640	3.563692	1	4294967295
7238.108256081	0.000000000	3.793	-3.126	-0.802	0.690	2.787126	1	4294967295
7238.408216206	0.000000000	3.484	-2.880	-0.826	0.704	2.797820	1	4294967295
7238.708145930	0.000000000	3.198	-2.666	-0.838	0.705	2.646004	1	4294967295
7239.022172036	0.000000000	2.964	-2.500	-0.832	0.690	2.431950	1	4294967295
7239.322163618	0.000000000	2.759	-2.352	-0.817	0.672	2.538398	1	4294967295
7239.622470149	0.000000000	2.584	-2.233	-0.796	0.647	2.666003	1	4294967295
7239.922233659	0.000000000	2.425	-2.148	-0.772	0.615	2.783602	1	4294967295
7240.207692663	0.000000000	2.279	-2.055	-0.746	0.589	2.945240	1	4294967295
7240.507698481	0.000000000	2.147	-1.993	-0.718	0.557	3.025507	1	4294967295
7240.807593053	0.000000000	2.038	-1.953	-0.687	0.522	3.107217	1	4294967295
7241.107580740	0.000000000	1.942	-1.940	-0.655	0.484	3.143279	1	4294967295
7241.407499853	0.000000000	1.805	-1.810	-0.638	0.479	0.789461	1	4294967295
7241.707261964	0.000000000	1.697	-1.669	-0.616	0.478	0.912324	1	4294967295
7242.007250933	0.000000000	1.651	-1.538	-0.580	0.474	1.230016	1	4294967295
7242.307087208	0.000000000	1.635	-1.420	-0.540	0.467	1.398681	1	4294967295
7242.607135634	0.000000000	1.625	-1.323	-0.501	0.456	1.454877	1	4294967295
