timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
3555.255561280	0.000000000	4.446	-3.870	0.119	-0.270	1.630395	1	4294967295
3555.555467349	0.000000000	4.589	-4.100	0.141	-0.306	2.851927	1	4294967295
3555.855373742	0.000000000	4.447	-4.098	0.096	-0.282	1.893053	1	4294967295
3556.155341421	0.000000000	4.299	-4.114	0.053	-0.264	1.611016	1	4294967295
3556.455245622	0.000000000	4.111	-4.128	0.003	-0.246	1.527919	1	4294967295
3556.755209116	0.000000000	3.896	-4.150	-0.052	-0.231	1.455544	1	4294967295
3557.055217675	0.000000000	3.731	-4.174	-0.091	-0.218	1.207970	1	4294967295
3557.355227723	0.000000000	3.595	-4.201	-0.120	-0.206	1.036563	1	4294967295
3557.655190359	0.000000000	3.479	-4.246	-0.143	-0.199	0.868352	1	4294967295
3557.955172974	0.000000000	3.374	-4.271	-0.163	-0.188	0.780427	1	4294967295
3558.255224319	0.000000000	3.276	-4.312	-0.178	-0.182	0.646373	1	4294967295
3558.555218918	0.000000000	3.199	-4.345	-0.186	-0.175	0.501307	1	4294967295
3558.855190645	0.000000000	3.120	-4.380	-0.195	-0.169	0.528665	1	4294967295
3559.155230438	0.000000000	3.027	-4.402	-0.207	-0.159	0.577760	1	4294967295
3559.455240261	0.000000000	2.932	-4.417	-0.219	-0.149	0.604499	1	4294967295
3559.755269631	0.000000000	2.834	-4.443	-0.230	-0.142	0.525581	1	4294967295
3560.055293371	0.000000000	2.747	-4.443	-0.238	-0.129	0.558162	1	4294967295
3560.355327580	0.000000000	2.650	-4.452	-0.247	-0.119	0.533234	1	4294967295
3560.655351660	0.000000000	2.558	-4.457	-0.255	-0.109	0.529154	1	4294967295
3560.955434155	0.000000000	2.462	-4.455	-0.263	-0.098	0.557841	1	4294967295
3561.255515000	0.000000000	2.374	-4.457	-0.267	-0.089	0.468761	1	4294967295
3561.555536765	0.000000000	2.281	-4.446	-0.273	-0.077	0.548579	1	4294967295
3561.855597179	0.000000000	2.190	-4.439	-0.278	-0.067	0.532355	1	4294967295
3562.155667487	0.000000000	2.091	-4.415	-0.285	-0.053	0.535400	1	4294967295
3562.455764787	0.000000000	2.001	-4.408	-0.288	-0.045	0.417735	1	4294967295
3562.755889576	0.000000000	1.908	-4.394	-0.292	-0.036	0.457386	1	4294967295
3563.055986488	0.000000000	1.818	-4.362	-0.294	-0.022	0.518233	1	4294967295
3563.356098361	0.000000000	1.727	-4.339	-0.297	-0.012	0.458505	1	4294967295
3563.656184816	0.000000000	1.641	-4.324	-0.298	-0.006	0.393942	1	4294967295
3563.956257561	0.000000000	1.553	-4.320	-0.299	-0.002	0.319935	1	4294967295
3564.256320741	0.000000000	1.467	-4.312	-0.300	0.002	0.337129	1	4294967295
3564.556487050	0.000000000	1.381	-4.294	-0.300	0.008	0.358138	1	4294967295
3564.856626088	0.000000000	1.293	-4.276	-0.301	0.014	0.354305	1	4294967295
3565.456769654	0.000000000	1.127	-4.237	-0.299	0.024	0.427293	1	4294967295
3565.756904768	0.000000000	1.052	-4.210	-0.296	0.031	0.363948	1	4294967295
3566.057042547	0.000000000	0.979	-4.186	-0.293	0.036	0.342926	1	4294967295
3566.357128284	0.000000000	0.908	-4.171	-0.289	0.039	0.300200	1	4294967295
3566.657288938	0.000000000	0.842	-4.141	-0.284	0.045	0.375664	1	4294967295
3566.957352041	0.000000000	0.781	-4.102	-0.279	0.054	0.425433	1	4294967295
3567.257409172	0.000000000	0.718	-4.065	-0.274	0.061	0.419201	1	4294967295
3567.557617999	0.000000000	0.643	-4.036	-0.273	0.066	0.349746	1	4294967295
3567.857731520	0.000000000	0.573	-3.997	-0.271	0.073	0.372043	1	4294967295
3568.157815637	0.000000000	0.506	-3.951	-0.268	0.081	0.408194	1	4294967295
3568.457927250	0.000000000	0.444	-3.908	-0.264	0.088	0.405080	1	4294967295
3568.757986090	0.000000000	0.385	-3.853	-0.259	0.097	0.457602	1	4294967295
3569.058165943	0.000000000	0.327	-3.805	-0.255	0.104	0.406470	1	4294967295
3569.358308449	0.000000000	0.261	-3.763	-0.253	0.109	0.358945	1	4294967295
3569.658427501	0.000000000	0.201	-3.703	-0.249	0.118	0.421424	1	4294967295
3569.958571122	0.000000000	0.142	-3.642	-0.246	0.126	0.406934	1	4294967295
3570.258634329	0.000000000	0.089	-3.572	-0.241	0.137	0.492379	1	4294967295
3570.558738888	0.000000000	0.035	-3.510	-0.237	0.143	0.399825	1	4294967295
3570.858877022	0.000000000	-0.030	-3.447	-0.236	0.150	0.395128	1	4294967295
3571.159039578	0.000000000	-0.094	-3.381	-0.234	0.157	0.383309	1	4294967295
3571.469638729	0.000000000	-0.162	-3.313	-0.234	0.163	0.276065	1	4294967295
3571.769447667	0.000000000	-0.205	-3.226	-0.228	0.173	0.430839	1	4294967295
3572.069578684	0.000000000	-0.221	-3.137	-0.215	0.183	0.563699	1	4294967295
3572.368718087	0.000000000	-0.241	-3.034	-0.205	0.197	0.543605	1	4294967295
3572.665961154	0.000000000	-0.265	-2.929	-0.196	0.209	0.471194	1	4294967295
3572.968999832	0.000000000	-0.281	-2.835	-0.186	0.218	0.497426	1	4294967295
3573.259899413	0.000000000	-0.298	-2.750	-0.177	0.224	0.429803	1	4294967295
3573.560057185	0.000000000	-0.310	-2.669	-0.168	0.229	0.443294	1	4294967295
3573.860190111	0.000000000	-0.330	-2.583	-0.161	0.235	0.405090	1	4294967295
3574.160271637	0.000000000	-0.353	-2.505	-0.155	0.239	0.452262	1	4294967295
3574.460418231	0.000000000	-0.366	-2.426	-0.147	0.242	0.514978	1	4294967295
3574.760557600	0.000000000	-0.391	-2.345	-0.143	0.246	0.419067	1	4294967295
3575.060696125	0.000000000	-0.423	-2.278	-0.141	0.246	0.339825	1	4294967295
3575.365013810	0.000000000	-0.446	-2.207	-0.136	0.246	0.359735	1	4294967295
3575.664525089	0.000000000	-0.475	-2.136	-0.133	0.246	0.285359	1	4294967295
3575.964536572	0.000000000	-0.495	-2.063	-0.128	0.247	0.355758	1	4294967295
3576.264473549	0.000000000	-0.513	-1.991	-0.123	0.247	0.334847	1	4294967295
3576.564606547	0.000000000	-0.521	-1.919	-0.116	0.247	0.388220	1	4294967295
3576.861785684	0.000000000	-0.529	-1.823	-0.109	0.254	0.412771	1	4294967295
3577.161920162	0.000000000	-0.534	-1.713	-0.103	0.264	0.433093	1	4294967295
3577.462056360	0.000000000	-0.524	-1.605	-0.093	0.271	0.468972	1	4294967295
