timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
6141.097651150	0.000000000	3.697	-1.399	0.001	-0.000	5.798243	1	4294967295
6141.397530537	0.000000000	3.697	-1.399	0.001	-0.000	5.318155	1	4294967295
6141.682636415	0.000000000	3.696	-1.399	-0.001	-0.000	6.058279	1	4294967295
6141.982596721	0.000000000	3.692	-1.399	-0.009	0.001	6.602287	1	4294967295
6142.282649229	0.000000000	3.679	-1.398	-0.023	0.001	5.967462	1	4294967295
6142.582586495	0.000000000	3.653	-1.398	-0.044	0.001	5.825454	1	4294967295
6142.882532426	0.000000000	3.607	-1.399	-0.073	0.000	5.562327	1	4294967295
6143.182482662	0.000000000	3.530	-1.399	-0.115	0.000	5.602130	1	4294967295
6143.482534727	0.000000000	3.418	-1.393	-0.166	0.004	5.327894	1	4294967295
6143.782565276	0.000000000	3.294	-1.388	-0.211	0.007	4.620731	1	4294967295
6144.082559153	0.000000000	3.193	-1.386	-0.231	0.007	3.535376	1	4294967295
6144.382679995	0.000000000	3.059	-1.370	-0.263	0.014	3.718105	1	4294967295
6144.682666292	0.000000000	2.918	-1.367	-0.291	0.014	3.530078	1	4294967295
6144.982644521	0.000000000	2.768	-1.361	-0.317	0.015	3.374735	1	4294967295
6145.282696271	0.000000000	2.571	-1.366	-0.357	0.012	3.512920	1	4294967295
6145.582623028	0.000000000	2.358	-1.354	-0.397	0.017	2.752890	1	4294967295
6145.882626899	0.000000000	2.109	-1.397	-0.443	0.001	2.518149	1	4294967295
6146.182602237	0.000000000	1.925	-1.419	-0.461	-0.005	2.087135	1	4294967295
6146.482561315	0.000000000	1.803	-1.430	-0.457	-0.007	1.670269	1	4294967295
6146.782557908	0.000000000	1.695	-1.367	-0.450	0.013	2.000055	1	4294967295
6147.082566504	0.000000000	1.587	-1.354	-0.445	0.017	1.936449	1	4294967295
6147.382559127	0.000000000	1.488	-1.415	-0.436	-0.001	1.564878	1	4294967295
6147.682547721	0.000000000	1.413	-1.430	-0.422	-0.005	1.454535	1	4294967295
6147.982492448	0.000000000	1.439	-1.506	-0.381	-0.025	2.943967	1	4294967295
6148.282526265	0.000000000	1.390	-1.533	-0.365	-0.030	1.438275	1	4294967295
6148.582460492	0.000000000	1.425	-1.458	-0.327	-0.009	2.678865	1	4294967295
6148.882389618	0.000000000	1.401	-1.479	-0.310	-0.013	1.476707	1	4294967295
6149.182111346	0.000000000	1.389	-1.530	-0.290	-0.024	1.546505	1	4294967295
6149.481879421	0.000000000	1.437	-1.695	-0.254	-0.063	2.851729	1	4294967295
6149.781593530	0.000000000	1.481	-1.871	-0.222	-0.102	2.800435	1	4294967295
6150.081319260	0.000000000	1.522	-1.900	-0.197	-0.101	1.701822	1	4294967295
6150.381039614	0.000000000	1.599	-2.024	-0.161	-0.124	2.822435	1	4294967295
6150.680781915	0.000000000	1.611	-2.198	-0.145	-0.158	1.916652	1	4294967295
6150.980502410	0.000000000	1.625	-2.292	-0.130	-0.170	1.125753	1	4294967295
6151.280175544	0.000000000	1.643	-2.401	-0.116	-0.184	1.163187	1	4294967295
6151.579984051	0.000000000	1.679	-2.499	-0.098	-0.194	1.195793	1	4294967295
6151.879753801	0.000000000	1.723	-2.603	-0.080	-0.206	1.190378	1	4294967295
6152.179511326	0.000000000	1.824	-2.651	-0.050	-0.203	1.359017	1	4294967295
6152.479310524	0.000000000	1.920	-2.718	-0.023	-0.205	1.275931	1	4294967295
6152.779055120	0.000000000	1.992	-2.805	-0.004	-0.211	1.222645	1	4294967295
6153.078901541	0.000000000	2.204	-2.822	0.052	-0.205	3.302855	1	4294967295
6153.378813927	0.000000000	2.375	-2.846	0.092	-0.199	2.419431	1	4294967295
6153.678693283	0.000000000	2.532	-2.873	0.125	-0.194	2.435624	1	4294967295
6153.978548047	0.000000000	2.683	-2.920	0.154	-0.194	2.682735	1	4294967295
6154.278479412	0.000000000	2.765	-3.097	0.164	-0.222	1.276635	1	4294967295
6154.578528246	0.000000000	2.791	-3.228	0.157	-0.236	0.999677	1	4294967295
6154.878440014	0.000000000	2.825	-3.403	0.154	-0.261	1.271116	1	4294967295
6155.178394639	0.000000000	2.817	-3.563	0.139	-0.278	1.293599	1	4294967295
6155.478318459	0.000000000	2.789	-3.670	0.120	-0.281	1.112427	1	4294967295
6155.797202398	0.000000000	2.749	-3.770	0.100	-0.283	0.899703	1	4294967295
6156.096776181	0.000000000	2.690	-3.865	0.076	-0.284	1.031762	1	4294967295
6156.396401553	0.000000000	2.613	-3.952	0.050	-0.282	1.105921	1	4294967295
6156.695952687	0.000000000	2.517	-4.032	0.022	-0.279	1.186436	1	4294967295
