timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
8579.011658315	0.000000000	2.072	-4.792	-0.207	-0.109	2.066512	1	4294967295
8579.312229889	0.000000000	1.928	-4.746	-0.230	-0.087	0.993011	1	4294967295
8579.612500055	0.000000000	1.798	-4.719	-0.247	-0.073	0.819189	1	4294967295
8579.912761201	0.000000000	1.671	-4.670	-0.262	-0.054	0.772623	1	4294967295
8580.213091067	0.000000000	1.635	-4.584	-0.248	-0.032	2.083147	1	4294967295
8580.513423148	0.000000000	1.607	-4.492	-0.232	-0.010	2.018598	1	4294967295
8580.813859498	0.000000000	1.560	-4.400	-0.223	0.010	2.022776	1	4294967295
8581.114192913	0.000000000	1.507	-4.318	-0.216	0.025	2.063501	1	4294967295
8581.414500483	0.000000000	1.472	-4.247	-0.205	0.035	1.982503	1	4294967295
8581.714717794	0.000000000	1.337	-4.204	-0.222	0.042	0.872657	1	4294967295
8582.028973497	0.000000000	1.226	-4.173	-0.235	0.047	0.595902	1	4294967295
8582.328637385	0.000000000	1.108	-4.138	-0.248	0.053	0.600163	1	4294967295
8582.628937993	0.000000000	1.001	-4.113	-0.257	0.057	0.392421	1	4294967295
8582.914811699	0.000000000	0.878	-4.050	-0.268	0.069	0.592059	1	4294967295
8583.214773624	0.000000000	0.764	-3.999	-0.277	0.077	0.449908	1	4294967295
8583.514740993	0.000000000	0.668	-3.925	-0.281	0.091	0.514343	1	4294967295
8583.814567129	0.000000000	0.585	-3.848	-0.281	0.105	0.546142	1	4294967295
8584.114375060	0.000000000	0.534	-3.746	-0.274	0.125	0.633289	1	4294967295
8584.414174537	0.000000000	0.510	-3.635	-0.261	0.145	0.780296	1	4294967295
8584.714039677	0.000000000	0.472	-3.553	-0.252	0.157	0.763940	1	4294967295
8585.013871899	0.000000000	0.501	-3.423	-0.227	0.180	1.057958	1	4294967295
8585.313595867	0.000000000	0.525	-3.334	-0.205	0.190	0.971265	1	4294967295
8585.613528729	0.000000000	0.581	-3.203	-0.176	0.211	1.167205	1	4294967295
8585.913235186	0.000000000	0.632	-3.097	-0.151	0.225	1.190033	1	4294967295
8586.213206241	0.000000000	0.678	-2.991	-0.129	0.238	1.150165	1	4294967295
8586.513059655	0.000000000	0.741	-2.893	-0.103	0.247	1.159994	1	4294967295
8586.812852805	0.000000000	0.815	-2.784	-0.077	0.259	1.207668	1	4294967295
8587.112810931	0.000000000	0.895	-2.671	-0.052	0.270	1.184318	1	4294967295
8587.412694072	0.000000000	0.989	-2.553	-0.024	0.281	1.195034	1	4294967295
8587.712545480	0.000000000	1.137	-2.413	0.015	0.296	1.353987	1	4294967295
8588.012449197	0.000000000	1.275	-2.283	0.049	0.308	1.263880	1	4294967295
8588.312227931	0.000000000	1.412	-2.170	0.080	0.315	1.268874	1	4294967295
8588.612167588	0.000000000	1.540	-2.062	0.106	0.321	1.205719	1	4294967295
