timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
8152.144541023	0.000000000	6.536	2.859	0.001	0.000	12.022775	1	4294967295
8152.444513796	0.000000000	3.275	3.924	0.001	0.000	9.385152	1	4294967295
8152.744444715	0.000000000	3.049	3.997	-0.001	-0.003	9.339124	1	4294967295
8153.044594934	0.000000000	3.033	3.995	-0.004	-0.012	9.340884	1	4294967295
8153.344542875	0.000000000	3.034	3.975	-0.009	-0.032	9.309099	1	4294967295
8153.644362763	0.000000000	3.047	3.927	-0.018	-0.064	9.311459	1	4294967295
8153.944201529	0.000000000	3.015	3.860	-0.033	-0.109	9.106137	1	4294967295
8154.244216270	0.000000000	3.037	3.727	-0.049	-0.172	8.970706	1	4294967295
8154.544146377	0.000000000	3.118	3.527	-0.060	-0.246	8.344411	1	4294967295
8154.844204173	0.000000000	3.206	3.313	-0.061	-0.307	6.489995	1	4294967295
8155.144387543	0.000000000	3.258	3.062	-0.066	-0.377	6.026339	1	4294967295
8155.459728363	0.000000000	3.267	2.872	-0.066	-0.409	3.870587	1	4294967295
8155.759558421	0.000000000	3.140	2.675	-0.098	-0.446	3.947962	1	4294967295
8156.059628701	0.000000000	3.080	2.288	-0.120	-0.545	6.350924	1	4294967295
8156.359795670	0.000000000	2.947	1.941	-0.155	-0.616	5.233982	1	4294967295
8156.659868645	0.000000000	2.721	1.390	-0.221	-0.745	5.168594	1	4294967295
8156.959477383	0.000000000	2.632	0.869	-0.235	-0.842	4.732030	1	4294967295
8157.259465318	0.000000000	2.493	0.286	-0.263	-0.945	4.456179	1	4294967295
8157.559501696	0.000000000	2.273	-0.200	-0.311	-1.006	2.743511	1	4294967295
8157.859171944	0.000000000	2.186	-0.626	-0.310	-1.041	3.031333	1	4294967295
8158.159277134	0.000000000	2.083	-0.914	-0.314	-1.034	0.638252	1	4294967295
8158.459167960	0.000000000	1.975	-1.150	-0.319	-1.014	0.863442	1	4294967295
8158.744455196	0.000000000	1.981	-1.343	-0.290	-0.984	2.251649	1	4294967295
8159.044393950	0.000000000	2.007	-1.488	-0.259	-0.945	2.384524	1	4294967295
8159.344243801	0.000000000	1.970	-1.758	-0.251	-0.940	1.600385	1	4294967295
8159.644241635	0.000000000	1.981	-1.899	-0.229	-0.903	2.700492	1	4294967295
8159.944358059	0.000000000	1.891	-2.078	-0.238	-0.878	1.787171	1	4294967295
8160.244295266	0.000000000	1.871	-2.366	-0.226	-0.883	2.638363	1	4294967295
8160.544287097	0.000000000	1.809	-2.597	-0.227	-0.874	2.749619	1	4294967295
8160.844275811	0.000000000	1.790	-2.856	-0.216	-0.872	2.552136	1	4294967295
8161.144227690	0.000000000	1.744	-3.020	-0.213	-0.847	2.850944	1	4294967295
8161.444185094	0.000000000	1.707	-3.153	-0.209	-0.816	2.913845	1	4294967295
