timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid	receiver_unix_time
3907.448704000	3907.424379119	-1.879	4.175	-0.151	0.052	0.227851	1	4294967295	1508336105
3907.748727000	3907.724424027	-1.980	-0.351	-0.149	-0.097	0.427285	1	4294967295	1508336105
3908.048835000	3908.024346842	-1.233	0.078	-0.113	-0.084	0.337328	1	4294967295	1508336105
3908.348656000	3908.324304757	-0.781	0.291	-0.086	-0.078	0.285169	1	4294967295	1508336106
3908.948549000	3908.924278139	-0.462	0.401	-0.056	-0.078	0.253554	1	4294967295	1508336106
3909.248530000	3909.224249562	-0.198	0.492	-0.030	-0.079	0.226733	1	4294967295	1508336107
3909.548665000	3909.524229503	0.023	0.567	-0.005	-0.080	0.199905	1	4294967295	1508336107
3909.848560000	3909.824213604	0.215	0.614	0.019	-0.082	0.185495	1	4294967295	1508336107
3914.934698000	3914.924019160	1.367	0.976	0.141	-0.012	0.335630	1	4294967295	1508336112
3915.234623000	3915.223769676	1.663	1.158	0.176	-0.000	0.220218	1	4294967295	1508336113
3915.534548000	3915.523545469	1.815	1.245	0.193	0.003	0.167227	1	4294967295	1508336113
3916.134273000	3916.123339429	1.978	1.308	0.205	0.005	0.142524	1	4294967295	1508336114
3917.333862000	3917.323220205	2.390	1.398	0.235	0.016	0.187005	1	4294967295	1508336115
3917.633720000	3917.623112771	2.570	1.485	0.257	0.029	0.164611	1	4294967295	1508336115
3917.933560000	3917.922825610	2.445	1.547	0.229	0.028	0.063399	1	4294967295	1508336115
3918.233401000	3918.222609923	2.405	1.602	0.215	0.029	0.052061	1	4294967295	1508336116
3918.533250000	3918.522439501	2.402	1.657	0.208	0.032	0.048850	1	4294967295	1508336116
3920.032326000	3920.022294766	2.669	1.798	0.204	0.046	0.129493	1	4294967295	1508336117
3920.932105000	3920.922217334	2.935	1.960	0.224	0.071	0.136881	1	4294967295	1508336118
3922.131824000	3922.122141188	3.282	2.084	0.241	0.077	0.088837	1	4294967295	1508336120
3922.431775000	3922.422068941	3.392	2.132	0.250	0.081	0.051422	1	4294967295	1508336120
3922.731673000	3922.722004413	3.500	2.165	0.258	0.081	0.055991	1	4294967295	1508336120
3923.031577000	3923.021870906	3.403	2.221	0.227	0.083	0.031678	1	4294967295	1508336120
3923.331438000	3923.321770914	3.374	2.278	0.211	0.086	0.084806	1	4294967295	1508336121
3923.949816000	3923.921635473	3.180	2.421	0.152	0.099	0.109445	1	4294967295	1508336121
3924.250219000	3924.221572020	3.089	2.500	0.127	0.107	0.100040	1	4294967295	1508336122
3924.550176000	3924.521534581	3.044	2.561	0.111	0.111	0.081056	1	4294967295	1508336122
3924.830842000	3924.821431548	3.087	2.628	0.115	0.115	0.043756	1	4294967295	1508336122
3925.130774000	3925.121342483	3.106	2.681	0.112	0.116	0.034381	1	4294967295	1508336123
3925.430645000	3925.421266011	3.158	2.734	0.116	0.117	0.050735	1	4294967295	1508336123
3925.730561000	3925.721200637	3.209	2.781	0.120	0.117	0.033478	1	4294967295	1508336123
3926.030464000	3926.021143196	3.259	2.827	0.122	0.117	0.032707	1	4294967295	1508336123
