timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
7598.086161006	0.000000000	0.978	0.076	-0.180	0.222	2.034089	1	4294967295
7598.386885470	0.000000000	0.826	-0.065	-0.207	0.171	1.828386	1	4294967295
7598.686464207	0.000000000	0.670	-0.180	-0.233	0.129	1.672517	1	4294967295
7598.987064897	0.000000000	0.553	-0.305	-0.246	0.087	2.579711	1	4294967295
7599.287226045	0.000000000	0.367	-0.459	-0.277	0.040	1.933802	1	4294967295
7599.585872498	0.000000000	0.230	-0.640	-0.293	-0.011	1.824131	1	4294967295
7599.885261411	0.000000000	0.162	-0.782	-0.291	-0.047	1.636928	1	4294967295
7600.184502697	0.000000000	0.132	-1.000	-0.278	-0.101	1.926564	1	4294967295
7600.483799401	0.000000000	0.131	-1.189	-0.257	-0.143	1.825175	1	4294967295
7600.783223299	0.000000000	0.155	-1.453	-0.229	-0.203	2.137926	1	4294967295
7601.082954002	0.000000000	0.215	-1.717	-0.193	-0.259	2.097024	1	4294967295
7601.382694510	0.000000000	0.255	-2.013	-0.163	-0.320	2.052994	1	4294967295
7601.682572445	0.000000000	0.295	-2.273	-0.137	-0.366	1.675779	1	4294967295
7601.982667580	0.000000000	0.322	-2.489	-0.118	-0.396	1.294800	1	4294967295
7602.282399978	0.000000000	0.328	-2.685	-0.107	-0.417	1.058643	1	4294967295
7602.582978768	0.000000000	0.302	-2.874	-0.106	-0.434	0.800540	1	4294967295
7602.883368054	0.000000000	0.239	-3.023	-0.116	-0.438	0.759441	1	4294967295
7603.183885001	0.000000000	0.153	-3.135	-0.132	-0.431	0.821586	1	4294967295
7603.483883982	0.000000000	0.075	-3.226	-0.145	-0.419	0.839584	1	4294967295
7603.783956464	0.000000000	0.026	-3.273	-0.149	-0.396	0.940913	1	4294967295
7604.083960463	0.000000000	-0.010	-3.322	-0.149	-0.376	0.962572	1	4294967295
7604.384035637	0.000000000	-0.034	-3.283	-0.146	-0.333	1.337936	1	4294967295
7604.683973646	0.000000000	-0.044	-3.216	-0.139	-0.286	1.547603	1	4294967295
7604.983753036	0.000000000	-0.017	-3.132	-0.121	-0.238	1.680401	1	4294967295
7605.283718203	0.000000000	0.050	-3.001	-0.094	-0.181	2.099624	1	4294967295
7605.583556580	0.000000000	0.145	-2.864	-0.061	-0.127	2.125450	1	4294967295
7605.883594750	0.000000000	0.266	-2.692	-0.023	-0.068	2.331710	1	4294967295
7606.183714781	0.000000000	0.424	-2.489	0.022	-0.006	2.584924	1	4294967295
7606.483935775	0.000000000	0.583	-2.286	0.064	0.051	2.427419	1	4294967295
7606.800477793	0.000000000	0.860	-2.091	0.137	0.098	3.467381	1	4294967295
7607.091655551	0.000000000	1.014	-1.887	0.168	0.146	2.188094	1	4294967295
7607.391031537	0.000000000	1.189	-1.661	0.202	0.196	2.248168	1	4294967295
7607.684922986	0.000000000	1.405	-1.462	0.244	0.234	2.164144	1	4294967295
7607.985521347	0.000000000	1.629	-1.237	0.284	0.275	2.160923	1	4294967295
7608.285730390	0.000000000	1.872	-0.891	0.325	0.347	2.421882	1	4294967295
7608.586067686	0.000000000	2.191	-0.569	0.384	0.404	2.283438	1	4294967295
7608.886186446	0.000000000	2.491	-0.296	0.432	0.445	1.901206	1	4294967295
7609.185928720	0.000000000	2.746	-0.055	0.465	0.474	1.497302	1	4294967295
7609.485537408	0.000000000	3.033	0.105	0.503	0.480	1.261994	1	4294967295
7609.785332966	0.000000000	3.328	0.231	0.540	0.476	1.152523	1	4294967295
7610.084975220	0.000000000	3.612	0.312	0.571	0.461	1.063464	1	4294967295
7610.384396729	0.000000000	3.885	0.349	0.598	0.435	1.187710	1	4294967295
7610.683938117	0.000000000	4.124	0.360	0.612	0.405	1.270477	1	4294967295
7610.983475641	0.000000000	4.334	0.303	0.618	0.359	1.571082	1	4294967295
7611.282684280	0.000000000	4.544	0.178	0.623	0.300	1.957026	1	4294967295
7611.582104748	0.000000000	4.706	0.028	0.614	0.238	2.140588	1	4294967295
7611.881520447	0.000000000	4.852	-0.122	0.601	0.181	2.237483	1	4294967295
7612.181014923	0.000000000	4.960	-0.298	0.578	0.122	2.403562	1	4294967295
7612.480340834	0.000000000	5.108	-0.481	0.568	0.065	2.376918	1	4294967295
7612.779924407	0.000000000	5.135	-0.680	0.525	0.009	2.621751	1	4294967295
7613.079508589	0.000000000	5.150	-0.938	0.483	-0.057	2.779475	1	4294967295
7613.379183343	0.000000000	5.203	-1.233	0.459	-0.128	2.576100	1	4294967295
7613.702425865	0.000000000	5.115	-1.445	0.402	-0.172	2.583200	1	4294967295
7614.002065095	0.000000000	4.986	-1.667	0.338	-0.215	2.653073	1	4294967295
7614.301613354	0.000000000	4.739	-1.939	0.246	-0.266	3.008189	1	4294967295
7614.600930596	0.000000000	4.466	-2.178	0.154	-0.304	2.968466	1	4294967295
7614.900343251	0.000000000	4.178	-2.396	0.065	-0.333	2.921310	1	4294967295
7615.178797416	0.000000000	3.967	-2.572	-0.000	-0.350	2.568235	1	4294967295
