timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
3905.050299740	0.000000000	-0.178	-0.918	0.829	-0.166	4.579517	1	4294967295
3905.350330168	0.000000000	0.735	-1.163	1.367	-0.182	3.788724	1	4294967295
3905.650314092	0.000000000	1.418	-1.331	1.607	-0.178	3.397382	1	4294967295
3905.950354926	0.000000000	1.798	-1.598	1.462	-0.323	3.054089	1	4294967295
3906.250379692	0.000000000	2.004	-1.760	1.226	-0.334	3.014185	1	4294967295
3906.550442954	0.000000000	2.116	-1.859	1.003	-0.299	2.988312	1	4294967295
3906.835031371	0.000000000	2.160	-2.071	0.785	-0.328	3.155177	1	4294967295
3907.135048242	0.000000000	2.298	-2.011	0.676	-0.188	3.264049	1	4294967295
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
3907.734904730	0.000000000	2.397	-2.010	0.581	-0.123	3.173552	1	4294967295
3908.050350561	0.000000000	2.487	-2.146	0.529	-0.161	2.629851	1	4294967295
3908.334875221	0.000000000	2.505	-2.095	0.438	-0.094	3.141568	1	4294967295
3908.634911389	0.000000000	2.443	-1.997	0.338	-0.027	1.877506	1	4294967295
3908.934915309	0.000000000	2.520	-1.972	0.311	-0.001	2.955693	1	4294967295
3909.534991937	0.000000000	2.650	-1.998	0.278	0.001	2.887113	1	4294967295
3909.834976144	0.000000000	2.573	-2.082	0.219	-0.019	2.795221	1	4294967295
3910.134930720	0.000000000	2.527	-2.136	0.177	-0.029	2.793143	1	4294967295
3910.434974751	0.000000000	2.506	-2.249	0.151	-0.057	2.583101	1	4294967295
3910.734955134	0.000000000	2.449	-2.189	0.115	-0.030	2.883362	1	4294967295
3911.035021712	0.000000000	2.393	-2.034	0.080	0.021	1.621043	1	4294967295
3911.335036813	0.000000000	2.330	-1.875	0.045	0.069	1.539917	1	4294967295
3911.634994403	0.000000000	2.298	-1.763	0.024	0.098	1.264778	1	4294967295
3911.934933092	0.000000000	2.249	-1.684	0.001	0.116	1.153350	1	4294967295
3912.234964172	0.000000000	2.235	-1.590	-0.009	0.135	0.892849	1	4294967295
3912.534972680	0.000000000	2.224	-1.508	-0.016	0.149	0.788342	1	4294967295
3912.834932772	0.000000000	2.226	-1.443	-0.018	0.156	0.668378	1	4294967295
3913.134906253	0.000000000	2.210	-1.424	-0.025	0.152	0.747761	1	4294967295
3913.434875483	0.000000000	2.217	-1.384	-0.023	0.152	0.559004	1	4294967295
3913.734813112	0.000000000	2.243	-1.401	-0.017	0.137	1.052608	1	4294967295
3914.034759847	0.000000000	2.246	-1.377	-0.017	0.134	0.527692	1	4294967295
3914.334778144	0.000000000	2.495	-1.373	0.046	0.119	3.510441	1	4294967295
3914.634730450	0.000000000	2.719	-1.383	0.097	0.104	3.363964	1	4294967295
3914.934697659	0.000000000	2.884	-1.398	0.130	0.090	3.341925	1	4294967295
3915.234623346	0.000000000	3.111	-1.371	0.175	0.086	3.033572	1	4294967295
3915.834427056	0.000000000	3.030	-1.390	0.130	0.073	1.459221	1	4294967295
3916.134273060	0.000000000	3.022	-1.370	0.118	0.075	0.798203	1	4294967295
3916.434179579	0.000000000	2.899	-1.414	0.079	0.062	1.256688	1	4294967295
3916.734050279	0.000000000	2.814	-1.471	0.053	0.046	1.068322	1	4294967295
3917.033922499	0.000000000	2.738	-1.526	0.031	0.031	0.963199	1	4294967295
3917.333861682	0.000000000	2.625	-1.611	0.001	0.010	1.028048	1	4294967295
3917.633720140	0.000000000	2.588	-1.683	-0.008	-0.008	0.744911	1	4294967295
3917.933560405	0.000000000	2.667	-1.875	0.013	-0.058	2.756699	1	4294967295
3918.233400908	0.000000000	2.736	-2.044	0.029	-0.097	2.665057	1	4294967295
3918.533250443	0.000000000	2.759	-2.196	0.032	-0.129	2.631694	1	4294967295
3918.833055921	0.000000000	2.852	-2.322	0.051	-0.151	2.480415	1	4294967295
