timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
6491.458754867	0.000000000	2.115	-1.492	0.001	-0.000	3.620460	1	4294967295
6491.758730198	0.000000000	2.115	-1.492	0.001	-0.000	3.611693	1	4294967295
6492.058691778	0.000000000	2.115	-1.493	0.000	-0.000	3.598091	1	4294967295
6492.358692098	0.000000000	2.115	-1.493	-0.001	-0.000	3.571347	1	4294967295
6492.658729872	0.000000000	2.115	-1.493	-0.000	-0.001	3.360368	1	4294967295
6492.958818426	0.000000000	2.114	-1.494	-0.001	-0.001	3.428395	1	4294967295
6493.258766006	0.000000000	2.111	-1.495	-0.004	-0.002	3.428140	1	4294967295
6493.558728521	0.000000000	2.106	-1.498	-0.006	-0.004	3.420419	1	4294967295
6493.858738330	0.000000000	2.103	-1.503	-0.007	-0.006	3.371455	1	4294967295
6494.173198495	0.000000000	2.090	-1.496	-0.013	-0.001	3.217685	1	4294967295
6494.473583990	0.000000000	2.064	-1.485	-0.025	0.005	3.267706	1	4294967295
6494.773457425	0.000000000	2.031	-1.470	-0.038	0.011	3.221671	1	4294967295
6495.073666311	0.000000000	1.998	-1.461	-0.048	0.015	3.216663	1	4294967295
6495.373514337	0.000000000	1.922	-1.430	-0.074	0.026	1.932394	1	4294967295
6495.658543958	0.000000000	1.898	-1.474	-0.075	0.006	3.243317	1	4294967295
6495.958502089	0.000000000	1.882	-1.528	-0.073	-0.013	3.197127	1	4294967295
6496.258480684	0.000000000	1.881	-1.554	-0.067	-0.020	3.277836	1	4294967295
6496.558430277	0.000000000	1.917	-1.584	-0.049	-0.028	2.973060	1	4294967295
6496.872865204	0.000000000	1.924	-1.595	-0.043	-0.028	2.819391	1	4294967295
6497.158375308	0.000000000	1.954	-1.599	-0.031	-0.026	3.126259	1	4294967295
6497.458435538	0.000000000	1.986	-1.601	-0.020	-0.024	3.084566	1	4294967295
6497.758413513	0.000000000	2.004	-1.646	-0.015	-0.034	2.954385	1	4294967295
6498.058371839	0.000000000	2.040	-1.646	-0.005	-0.030	3.055679	1	4294967295
6498.358339234	0.000000000	2.054	-1.686	-0.002	-0.038	2.941679	1	4294967295
6498.658289767	0.000000000	2.088	-1.687	0.005	-0.034	3.037970	1	4294967295
6498.958249542	0.000000000	2.120	-1.691	0.011	-0.031	3.000854	1	4294967295
6499.258227622	0.000000000	2.131	-1.724	0.010	-0.035	3.053146	1	4294967295
6499.558193868	0.000000000	2.165	-1.758	0.016	-0.039	2.975241	1	4294967295
6499.858237833	0.000000000	2.179	-1.785	0.015	-0.041	3.051235	1	4294967295
6500.158246179	0.000000000	2.193	-1.807	0.015	-0.042	3.013531	1	4294967295
6500.458212139	0.000000000	2.206	-1.828	0.014	-0.042	3.002068	1	4294967295
6500.758168451	0.000000000	2.207	-1.877	0.011	-0.050	2.883735	1	4294967295
6501.058166708	0.000000000	2.223	-1.888	0.011	-0.047	2.970724	1	4294967295
6501.358108716	0.000000000	2.244	-1.901	0.013	-0.045	2.922351	1	4294967295
6501.658053715	0.000000000	2.263	-1.911	0.014	-0.041	2.911274	1	4294967295
6501.957996002	0.000000000	2.282	-1.919	0.015	-0.038	2.889330	1	4294967295
6502.257975034	0.000000000	2.311	-1.955	0.019	-0.043	2.772408	1	4294967295
6502.558023354	0.000000000	2.310	-1.987	0.015	-0.047	2.772636	1	4294967295
6502.857993082	0.000000000	2.330	-1.983	0.016	-0.040	2.847548	1	4294967295
6503.158013063	0.000000000	2.322	-2.007	0.010	-0.042	2.699263	1	4294967295
6503.457967183	0.000000000	2.271	-1.964	-0.009	-0.024	1.300557	1	4294967295
6503.757922512	0.000000000	2.230	-1.932	-0.021	-0.012	0.946491	1	4294967295
6504.057795192	0.000000000	2.213	-1.907	-0.028	-0.003	1.108839	1	4294967295
6504.357822217	0.000000000	2.243	-1.941	-0.019	-0.011	2.712437	1	4294967295
6504.657718216	0.000000000	2.279	-1.997	-0.008	-0.025	2.638347	1	4294967295
6504.957713778	0.000000000	2.291	-2.034	-0.005	-0.032	2.734829	1	4294967295
6505.257624899	0.000000000	2.326	-2.090	0.004	-0.044	2.619869	1	4294967295
6505.557637028	0.000000000	2.381	-2.129	0.016	-0.050	2.644935	1	4294967295
6505.857658752	0.000000000	2.441	-2.154	0.030	-0.053	2.590302	1	4294967295
6506.157654859	0.000000000	2.498	-2.174	0.041	-0.053	2.579696	1	4294967295
6506.457614151	0.000000000	2.556	-2.194	0.052	-0.054	2.544220	1	4294967295
6506.757672574	0.000000000	2.624	-2.243	0.064	-0.062	2.462088	1	4294967295
6507.057636700	0.000000000	2.654	-2.275	0.065	-0.065	2.585533	1	4294967295
6507.357530919	0.000000000	2.701	-2.321	0.071	-0.070	2.463009	1	4294967295
6507.657473847	0.000000000	2.704	-2.343	0.063	-0.069	2.588372	1	4294967295
6507.957348190	0.000000000	2.752	-2.383	0.069	-0.074	2.452129	1	4294967295
6508.257190837	0.000000000	2.803	-2.423	0.075	-0.077	2.462635	1	4294967295
6508.557061234	0.000000000	2.791	-2.357	0.063	-0.053	1.297216	1	4294967295
6508.856863310	0.000000000	2.779	-2.326	0.053	-0.039	1.143839	1	4294967295
6509.156726195	0.000000000	2.817	-2.366	0.057	-0.046	2.468209	1	4294967295
6509.456632761	0.000000000	2.773	-2.313	0.039	-0.028	1.087574	1	4294967295
6509.756471371	0.000000000	2.766	-2.265	0.033	-0.013	0.795942	1	4294967295
6510.056373781	0.000000000	2.923	-2.638	0.070	-0.106	7.011818	1	4294967295
6510.356261894	0.000000000	2.885	-2.590	0.053	-0.085	1.138254	1	4294967295
6510.656101608	0.000000000	2.854	-2.582	0.040	-0.076	0.796721	1	4294967295
6510.955991576	0.000000000	2.985	-2.978	0.071	-0.170	6.539556	1	4294967295
6511.255822349	0.000000000	2.951	-2.959	0.056	-0.152	1.050713	1	4294967295
6511.555663797	0.000000000	2.918	-2.939	0.042	-0.135	0.985718	1	4294967295
6511.855520488	0.000000000	2.894	-2.920	0.032	-0.120	0.835206	1	4294967295
6512.455403361	0.000000000	3.162	-3.198	0.093	-0.169	5.519061	1	4294967295
6512.755273120	0.000000000	3.410	-3.377	0.147	-0.201	5.296328	1	4294967295
6513.055098578	0.000000000	3.653	-3.512	0.196	-0.220	5.106754	1	4294967295
6513.354942637	0.000000000	3.768	-3.629	0.208	-0.232	5.149724	1	4294967295
6513.675207083	0.000000000	3.986	-3.999	0.248	-0.307	6.859059	1	4294967295
6513.972816009	0.000000000	3.986	-3.926	0.226	-0.263	2.111803	1	4294967295
6514.575564152	0.000000000	4.554	-4.237	0.330	-0.308	6.174735	1	4294967295
6514.875614087	0.000000000	4.728	-4.230	0.345	-0.283	4.392140	1	4294967295
6515.154134801	0.000000000	4.963	-4.433	0.377	-0.313	5.594818	1	4294967295
6515.454061194	0.000000000	5.036	-4.522	0.365	-0.310	4.000205	1	4294967295
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
6516.973520666	0.000000000	4.910	-4.593	0.304	-0.295	3.840603	1	4294967295
6517.253413650	0.000000000	4.853	-4.522	0.262	-0.247	2.481727	1	4294967295
6517.553263579	0.000000000	4.645	-4.433	0.187	-0.196	2.653809	1	4294967295
6517.853193567	0.000000000	4.463	-4.356	0.125	-0.154	2.253034	1	4294967295
6518.153117553	0.000000000	4.424	-4.285	0.102	-0.121	1.501456	1	4294967295
6518.453043263	0.000000000	4.257	-4.239	0.052	-0.094	1.661902	1	4294967295
6518.753021610	0.000000000	3.951	-4.303	-0.025	-0.092	1.657083	1	4294967295
6519.052963984	0.000000000	3.772	-4.311	-0.068	-0.081	1.281398	1	4294967295
6519.353007803	0.000000000	3.627	-4.322	-0.100	-0.073	1.044654	1	4294967295
6519.652967453	0.000000000	3.515	-4.369	-0.121	-0.076	0.810778	1	4294967295
6519.952955813	0.000000000	3.375	-4.375	-0.147	-0.069	0.872211	1	4294967295
6520.252996221	0.000000000	3.277	-4.383	-0.163	-0.063	0.734638	1	4294967295
6520.552998861	0.000000000	3.166	-4.383	-0.181	-0.056	0.731214	1	4294967295
6520.853012824	0.000000000	3.062	-4.357	-0.195	-0.043	0.636479	1	4294967295
6521.153056256	0.000000000	2.975	-4.339	-0.205	-0.034	0.572964	1	4294967295
6521.453059408	0.000000000	2.961	-4.284	-0.195	-0.019	1.336433	1	4294967295
6521.753100426	0.000000000	2.956	-4.235	-0.183	-0.007	1.194770	1	4294967295
6522.053187733	0.000000000	2.942	-4.188	-0.173	0.004	1.133413	1	4294967295
6522.353236971	0.000000000	2.856	-4.176	-0.183	0.008	0.564272	1	4294967295
