timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
8844.796918440	0.000000000	3.571	-3.038	0.001	-0.000	5.564090	1	4294967295
8845.096908484	0.000000000	3.571	-3.038	0.001	-0.000	5.553055	1	4294967295
8845.696882862	0.000000000	3.568	-3.036	-0.003	0.003	5.241153	1	4294967295
8845.996851877	0.000000000	3.558	-3.024	-0.015	0.016	5.541910	1	4294967295
8846.296825750	0.000000000	3.537	-2.998	-0.034	0.041	5.356771	1	4294967295
8846.596804430	0.000000000	3.501	-2.948	-0.058	0.077	5.023921	1	4294967295
8846.896785773	0.000000000	3.448	-2.866	-0.087	0.122	4.704609	1	4294967295
8847.196768698	0.000000000	3.376	-2.751	-0.117	0.175	4.367654	1	4294967295
8847.496777544	0.000000000	3.299	-2.619	-0.142	0.222	3.707880	1	4294967295
8847.796718567	0.000000000	3.231	-2.460	-0.156	0.271	3.306723	1	4294967295
