timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
8809.399364633	0.000000000	4.238	-1.642	0.001	-0.000	4.268448	1	4294967295
8809.699345446	0.000000000	3.233	-1.594	-0.002	0.002	2.313193	1	4294967295
8809.999262435	0.000000000	2.897	-1.661	-0.007	0.002	0.902663	1	4294967295
8810.299442342	0.000000000	2.971	-1.490	-0.006	0.005	2.219878	1	4294967295
8810.599396551	0.000000000	2.993	-1.412	-0.006	0.008	2.208762	1	4294967295
8810.899332477	0.000000000	3.005	-1.366	-0.006	0.011	2.196470	1	4294967295
8811.199332005	0.000000000	2.972	-1.364	-0.006	0.011	2.243659	1	4294967295
8811.499265451	0.000000000	2.891	-1.408	-0.022	0.008	0.978510	1	4294967295
8811.799214508	0.000000000	2.887	-1.395	-0.019	0.008	2.220032	1	4294967295
8812.099190155	0.000000000	2.885	-1.386	-0.016	0.009	2.241191	1	4294967295
8812.399146887	0.000000000	2.893	-1.384	-0.010	0.008	2.230436	1	4294967295
8812.699094110	0.000000000	2.892	-1.377	-0.008	0.009	2.241734	1	4294967295
8813.014383618	0.000000000	2.881	-1.355	-0.007	0.014	2.263716	1	4294967295
8813.314388274	0.000000000	2.866	-1.328	-0.008	0.020	2.270900	1	4294967295
8813.614377935	0.000000000	2.850	-1.301	-0.009	0.025	2.261830	1	4294967295
8813.914440233	0.000000000	2.847	-1.282	-0.006	0.028	2.213635	1	4294967295
8814.214429686	0.000000000	2.764	-1.315	-0.034	0.016	1.026201	1	4294967295
8814.514461893	0.000000000	2.772	-1.244	-0.021	0.034	2.035433	1	4294967295
