timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
8860.996032924	0.000000000	-0.114	2.188	0.000	0.000	7.480113	1	4294967295
8861.295988326	0.000000000	-0.114	2.187	0.000	0.000	7.316839	1	4294967295
8861.595938913	0.000000000	-0.113	2.186	0.002	-0.001	6.882163	1	4294967295
8861.895910708	0.000000000	-0.110	2.182	0.006	-0.008	7.497419	1	4294967295
8862.195866758	0.000000000	-0.101	2.170	0.017	-0.020	7.475270	1	4294967295
8862.495817690	0.000000000	-0.079	2.145	0.035	-0.040	7.593626	1	4294967295
8862.795786210	0.000000000	-0.039	2.099	0.062	-0.070	7.472790	1	4294967295
8863.095779446	0.000000000	0.027	2.025	0.097	-0.110	7.317681	1	4294967295
8863.395755861	0.000000000	0.123	1.913	0.142	-0.162	7.043845	1	4294967295
8863.695715052	0.000000000	0.255	1.757	0.194	-0.225	6.744553	1	4294967295
8863.995682204	0.000000000	0.406	1.581	0.243	-0.282	5.856299	1	4294967295
8864.310850789	0.000000000	0.526	1.413	0.266	-0.321	3.607756	1	4294967295
8864.610821283	0.000000000	0.681	1.241	0.299	-0.355	3.699532	1	4294967295
8864.910771598	0.000000000	0.832	1.083	0.325	-0.376	2.019410	1	4294967295
8865.210813779	0.000000000	1.001	0.870	0.352	-0.414	3.236164	1	4294967295
8865.510818083	0.000000000	1.220	0.513	0.393	-0.496	4.418196	1	4294967295
8865.810686071	0.000000000	1.396	0.242	0.413	-0.537	2.879529	1	4294967295
8866.095183485	0.000000000	1.646	-0.057	0.453	-0.581	3.161109	1	4294967295
8866.395101341	0.000000000	1.854	-0.331	0.475	-0.611	2.879954	1	4294967295
8866.695062245	0.000000000	2.009	-0.573	0.477	-0.628	2.726457	1	4294967295
8866.994913197	0.000000000	2.172	-0.786	0.482	-0.635	2.441011	1	4294967295
8867.294745356	0.000000000	2.257	-1.052	0.462	-0.655	3.059274	1	4294967295
8867.595052628	0.000000000	2.310	-1.287	0.435	-0.665	2.928616	1	4294967295
8867.894970211	0.000000000	2.340	-1.508	0.404	-0.670	2.884625	1	4294967295
8868.194488890	0.000000000	2.357	-1.712	0.372	-0.669	2.905929	1	4294967295
8868.494491624	0.000000000	2.355	-1.897	0.338	-0.663	2.863665	1	4294967295
8868.794482664	0.000000000	2.302	-2.098	0.292	-0.661	2.994401	1	4294967295
8869.094451486	0.000000000	2.183	-2.278	0.231	-0.653	2.844157	1	4294967295
8869.394373692	0.000000000	2.112	-2.425	0.189	-0.637	2.809560	1	4294967295
